epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,4163.88,1.07988,1.89177,1.57635,0.5936,0.5373,0.54932,0.45093,0.70685,1.31794,1.26579,0.00133669,0.000445562,0.00133669,0.000445562,0.00133669,0.000445562,0.00133669,0.000445562
31,4309.07,1.06808,1.83915,1.5626,0.67295,0.45918,0.55853,0.45904,0.69638,1.30127,1.26653,0.00131812,0.000439375,0.00131812,0.000439375,0.00131812,0.000439375,0.00131812,0.000439375
32,4453.97,1.05361,1.83051,1.55042,0.59916,0.51677,0.56948,0.47219,0.67635,1.29494,1.2452,0.00129956,0.000433187,0.00129956,0.000433187,0.00129956,0.000433187,0.00129956,0.000433187
33,4599.55,1.05635,1.82723,1.55089,0.52747,0.56904,0.57914,0.47838,0.67074,1.25967,1.23206,0.001281,0.000427,0.001281,0.000427,0.001281,0.000427,0.001281,0.000427
34,4744.39,1.03903,1.80616,1.53441,0.65273,0.51103,0.56839,0.46844,0.68039,1.26994,1.23981,0.00126244,0.000420812,0.00126244,0.000420812,0.00126244,0.000420812,0.00126244,0.000420812
35,4891.13,1.02757,1.75339,1.52009,0.52557,0.54177,0.58115,0.48488,0.6579,1.24935,1.20195,0.00124387,0.000414625,0.00124387,0.000414625,0.00124387,0.000414625,0.00124387,0.000414625
36,5028.46,1.03063,1.74512,1.52007,0.52909,0.56625,0.59283,0.49658,0.64708,1.22967,1.20308,0.00122531,0.000408438,0.00122531,0.000408438,0.00122531,0.000408438,0.00122531,0.000408438
37,5169.2,1.02074,1.73739,1.51638,0.60672,0.59316,0.58977,0.48821,0.6578,1.22903,1.20366,0.00120675,0.00040225,0.00120675,0.00040225,0.00120675,0.00040225,0.00120675,0.00040225
38,5337.26,1.01128,1.71643,1.50072,0.69996,0.53704,0.62337,0.5236,0.64462,1.17651,1.19647,0.00118819,0.000396063,0.00118819,0.000396063,0.00118819,0.000396063,0.00118819,0.000396063
39,5493.31,0.99972,1.68614,1.49015,0.66523,0.58872,0.61667,0.51854,0.6313,1.18677,1.1765,0.00116963,0.000389875,0.00116963,0.000389875,0.00116963,0.000389875,0.00116963,0.000389875
40,5645.94,0.99192,1.68223,1.48807,0.52954,0.61166,0.60461,0.50689,0.62934,1.20688,1.17736,0.00115106,0.000383688,0.00115106,0.000383688,0.00115106,0.000383688,0.00115106,0.000383688
41,5799.28,0.99242,1.66496,1.48491,0.66814,0.55715,0.61707,0.51981,0.62629,1.1712,1.17104,0.0011325,0.0003775,0.0011325,0.0003775,0.0011325,0.0003775,0.0011325,0.0003775
42,5951.73,0.98458,1.65224,1.47484,0.65149,0.60668,0.63962,0.53846,0.61133,1.13097,1.16006,0.00111394,0.000371313,0.00111394,0.000371313,0.00111394,0.000371313,0.00111394,0.000371313
43,6110.19,0.97859,1.61337,1.4674,0.65433,0.62039,0.66511,0.56606,0.6213,1.10278,1.16353,0.00109537,0.000365125,0.00109537,0.000365125,0.00109537,0.000365125,0.00109537,0.000365125
44,6268.5,0.97919,1.62128,1.46645,0.66886,0.60286,0.64985,0.5503,0.6265,1.11402,1.16996,0.00107681,0.000358938,0.00107681,0.000358938,0.00107681,0.000358938,0.00107681,0.000358938
45,6422.76,0.96873,1.61009,1.46115,0.70545,0.59772,0.64624,0.54864,0.60542,1.07683,1.15007,0.00105825,0.00035275,0.00105825,0.00035275,0.00105825,0.00035275,0.00105825,0.00035275
46,6575.07,0.96256,1.58117,1.4534,0.76444,0.55324,0.65988,0.56098,0.61307,1.08839,1.15724,0.00103969,0.000346563,0.00103969,0.000346563,0.00103969,0.000346563,0.00103969,0.000346563
