epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,164.109,2.98124,4.86055,3.91646,0.00307,0.48879,0.01346,0.0033,2.37718,3.81409,3.36488,0.000207965,0.000207965,0.000207965
2,285.739,2.24168,3.6615,2.77458,0.27821,0.1944,0.1051,0.057,1.65774,2.58584,2.28138,0.000412177,0.000412177,0.000412177
3,405.493,1.67246,2.93673,2.12488,0.33453,0.29803,0.19601,0.13018,1.24121,2.30769,1.718,0.000612264,0.000612264,0.000612264
4,508.777,1.45255,2.59118,1.86487,0.25876,0.36139,0.27645,0.18828,1.13125,1.95446,1.61392,0.000606437,0.000606437,0.000606437
5,646.28,1.33383,2.36156,1.74328,0.23606,0.43323,0.33373,0.24092,0.96992,1.88486,1.46077,0.00060025,0.00060025,0.00060025
