epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,108.479,3.0881,5.04017,4.2449,0.00076,0.16378,0.00063,0.00017,2.58288,4.41891,4.32898,0.000622792,0.000207597,0.000622792,0.000207597,0.000622792,0.000207597,0.000622792,0.000207597
2,207.729,3.0622,4.98347,4.22709,0.00084,0.1788,0.00072,0.0002,2.5842,4.20354,4.32882,0.00122309,0.000407695,0.00122309,0.000407695,0.00122309,0.000407695,0.00122309,0.000407695
3,307.049,3.06295,4.95393,4.19065,0.00123,0.24883,0.00143,0.00039,2.56621,4.06123,4.26538,0.00179863,0.000599543,0.00179863,0.000599543,0.00179863,0.000599543,0.00179863,0.000599543
4,422.747,3.05716,4.82864,4.12082,0.25636,0.00986,0.00383,0.00103,2.53812,3.91143,4.13423,0.00176363,0.000587875,0.00176363,0.000587875,0.00176363,0.000587875,0.00176363,0.000587875
5,540.313,2.97011,4.5579,3.96968,0.26924,0.03602,0.00839,0.00236,2.38525,3.65335,3.93598,0.0017265,0.0005755,0.0017265,0.0005755,0.0017265,0.0005755,0.0017265,0.0005755
6,671.278,2.82529,4.23065,3.76819,0.18923,0.06182,0.01451,0.00462,2.27467,3.5825,3.65655,0.00168937,0.000563125,0.00168937,0.000563125,0.00168937,0.000563125,0.00168937,0.000563125
7,770.975,2.67045,3.96434,3.52999,0.20953,0.07811,0.03383,0.01208,2.12531,3.23197,3.3374,0.00165225,0.00055075,0.00165225,0.00055075,0.00165225,0.00055075,0.00165225,0.00055075
8,876.685,2.51591,3.72659,3.26907,0.24143,0.08917,0.05968,0.02301,2.08656,3.03197,3.11912,0.00161512,0.000538375,0.00161512,0.000538375,0.00161512,0.000538375,0.00161512,0.000538375
9,979.222,2.34927,3.51266,3.04612,0.18535,0.20547,0.08861,0.03872,1.91877,2.74961,2.82341,0.001578,0.000526,0.001578,0.000526,0.001578,0.000526,0.001578,0.000526
10,1080.73,2.18618,3.33416,2.85272,0.20172,0.25153,0.10247,0.05127,1.78635,2.65057,2.65529,0.00154088,0.000513625,0.00154088,0.000513625,0.00154088,0.000513625,0.00154088,0.000513625
11,1181.93,2.00277,3.15222,2.66358,0.41864,0.23867,0.16669,0.09457,1.54021,2.36569,2.38542,0.00150375,0.00050125,0.00150375,0.00050125,0.00150375,0.00050125,0.00150375,0.00050125
12,1284.41,1.84322,2.99316,2.49364,0.24736,0.28667,0.17418,0.10703,1.43469,2.30604,2.28541,0.00146663,0.000488875,0.00146663,0.000488875,0.00146663,0.000488875,0.00146663,0.000488875
13,1385.87,1.72688,2.86637,2.34859,0.2903,0.35709,0.2229,0.1474,1.29209,2.13893,2.07118,0.0014295,0.0004765,0.0014295,0.0004765,0.0014295,0.0004765,0.0014295,0.0004765
14,1487.95,1.62105,2.75911,2.23228,0.2239,0.35877,0.24677,0.16912,1.22136,2.08741,1.9564,0.00139237,0.000464125,0.00139237,0.000464125,0.00139237,0.000464125,0.00139237,0.000464125
15,1590.93,1.56072,2.6771,2.13872,0.34506,0.34062,0.25042,0.17506,1.15126,2.07625,1.854,0.00135525,0.00045175,0.00135525,0.00045175,0.00135525,0.00045175,0.00135525,0.00045175
16,1693.54,1.48743,2.59703,2.04557,0.25715,0.38532,0.30194,0.21429,1.1033,1.9444,1.78714,0.00131812,0.000439375,0.00131812,0.000439375,0.00131812,0.000439375,0.00131812,0.000439375
17,1795.15,1.44427,2.53239,1.98795,0.35641,0.42792,0.31316,0.22553,1.05229,1.89008,1.69042,0.001281,0.000427,0.001281,0.000427,0.001281,0.000427,0.001281,0.000427
18,1896.97,1.40764,2.47964,1.93601,0.39908,0.37477,0.34553,0.24434,1.02631,1.87167,1.6541,0.00124387,0.000414625,0.00124387,0.000414625,0.00124387,0.000414625,0.00124387,0.000414625
19,1998.93,1.36146,2.41542,1.88897,0.40381,0.42776,0.37139,0.27207,0.97138,1.77438,1.5851,0.00120675,0.00040225,0.00120675,0.00040225,0.00120675,0.00040225,0.00120675,0.00040225
20,2102.31,1.32909,2.36131,1.84441,0.443,0.42335,0.37056,0.27705,0.95955,1.77965,1.56804,0.00116963,0.000389875,0.00116963,0.000389875,0.00116963,0.000389875,0.00116963,0.000389875
21,2205.5,1.30527,2.3242,1.81281,0.43998,0.42085,0.41007,0.31307,0.95286,1.68929,1.53198,0.0011325,0.0003775,0.0011325,0.0003775,0.0011325,0.0003775,0.0011325,0.0003775
22,2310.55,1.26197,2.25775,1.75924,0.36095,0.50187,0.42287,0.32453,0.90029,1.66301,1.48296,0.00109537,0.000365125,0.00109537,0.000365125,0.00109537,0.000365125,0.00109537,0.000365125
23,2414.78,1.25777,2.21455,1.74616,0.48149,0.45974,0.44087,0.33774,0.90406,1.61894,1.46792,0.00105825,0.00035275,0.00105825,0.00035275,0.00105825,0.00035275,0.00105825,0.00035275
24,2519.62,1.24635,2.19612,1.73929,0.52442,0.43271,0.44448,0.34336,0.87393,1.62649,1.43567,0.00102113,0.000340375,0.00102113,0.000340375,0.00102113,0.000340375,0.00102113,0.000340375
25,2625.17,1.23281,2.17359,1.72151,0.56929,0.44253,0.46727,0.36858,0.84925,1.57,1.40489,0.000984,0.000328,0.000984,0.000328,0.000984,0.000328,0.000984,0.000328
26,2729.61,1.20332,2.12735,1.69275,0.45392,0.47835,0.47343,0.3719,0.84471,1.55814,1.40671,0.000946875,0.000315625,0.000946875,0.000315625,0.000946875,0.000315625,0.000946875,0.000315625
27,2834.59,1.19298,2.10712,1.67779,0.5551,0.47962,0.48727,0.38301,0.8212,1.508,1.37252,0.00090975,0.00030325,0.00090975,0.00030325,0.00090975,0.00030325,0.00090975,0.00030325
28,2939.31,1.17509,2.05771,1.65686,0.54282,0.48245,0.48604,0.38733,0.80574,1.49683,1.36403,0.000872625,0.000290875,0.000872625,0.000290875,0.000872625,0.000290875,0.000872625,0.000290875
29,3045.17,1.16009,2.03212,1.64832,0.54213,0.5008,0.49226,0.39516,0.80195,1.47372,1.35532,0.0008355,0.0002785,0.0008355,0.0002785,0.0008355,0.0002785,0.0008355,0.0002785
30,3150.22,1.14995,2.03219,1.63663,0.55998,0.48696,0.49567,0.39631,0.78315,1.46017,1.32934,0.000798375,0.000266125,0.000798375,0.000266125,0.000798375,0.000266125,0.000798375,0.000266125
31,3255.34,1.13521,1.98531,1.6181,0.59538,0.5049,0.51126,0.41131,0.77201,1.43837,1.32114,0.00076125,0.00025375,0.00076125,0.00025375,0.00076125,0.00025375,0.00076125,0.00025375
32,3360,1.12577,1.97749,1.60979,0.60178,0.48172,0.52426,0.42095,0.78856,1.41151,1.33806,0.000724125,0.000241375,0.000724125,0.000241375,0.000724125,0.000241375,0.000724125,0.000241375
33,3465.22,1.12816,1.97349,1.61036,0.45665,0.5505,0.51106,0.41102,0.7674,1.43636,1.31722,0.000687,0.000229,0.000687,0.000229,0.000687,0.000229,0.000687,0.000229
34,3574.01,1.1167,1.96873,1.60247,0.57061,0.54232,0.53333,0.42729,0.75237,1.3871,1.29564,0.000649875,0.000216625,0.000649875,0.000216625,0.000649875,0.000216625,0.000649875,0.000216625
35,3679.64,1.09922,1.90744,1.58599,0.60251,0.52791,0.54078,0.44173,0.74104,1.37259,1.28561,0.00061275,0.00020425,0.00061275,0.00020425,0.00061275,0.00020425,0.00061275,0.00020425
36,3786.7,1.10617,1.9096,1.58922,0.62662,0.51836,0.53984,0.44033,0.7365,1.36728,1.28738,0.000575625,0.000191875,0.000575625,0.000191875,0.000575625,0.000191875,0.000575625,0.000191875
37,3897.74,1.09596,1.89926,1.58132,0.58883,0.5354,0.54195,0.43962,0.72605,1.34953,1.27425,0.0005385,0.0001795,0.0005385,0.0001795,0.0005385,0.0001795,0.0005385,0.0001795
